article,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Periodiske_system,157,1622505600000,5226,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Danmarks_håndboldlandshold_(herrer),158,1622505600000,5213,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Palle_Sørensen,159,1622505600000,5213,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Bent_Werther,160,1622505600000,5169,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Dannebrog,161,1622505600000,5155,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europamesterskabet_i_fodbold_1984,162,1622505600000,5148,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Eden_Hazard,163,1622505600000,5132,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Mads_Laudrup,164,1622505600000,5115,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Storebæltsforbindelsen,165,1622505600000,5093,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Hollands_fodboldlandshold,166,1622505600000,5079,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Lise_Nørgaard,167,1622505600000,5072,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Europamesterskabet_i_fodbold_1996,168,1622505600000,5056,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
"Mathias_""Zanka""_Jørgensen",169,1622505600000,5043,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
DM_i_landevejscykling_2021,170,1622505600000,5043,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Wikipedia,171,1622505600000,5022,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Joachim_Löw,172,1622505600000,5009,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Italiens_fodboldlandshold,173,1622505600000,5009,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Margrete_1.,174,1622505600000,5009,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Guyana,175,1622505600000,4992,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Frank_Hvam,176,1622505600000,4939,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Robin_Olsen,177,1622505600000,4930,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Tjekkiet,178,1622505600000,4914,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Frankrigs_fodboldlandshold,179,1622505600000,4899,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Henrik_Kauffmann,180,1622505600000,4895,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Verdens_landes_arealer,181,1622505600000,4889,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
"Paradise_Hotel_(Danmark,_sæson_16)",182,1622505600000,4877,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Anders_Holch_Povlsen,183,1622505600000,4875,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
YouTube,184,1622505600000,4862,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Jon_Dahl_Tomasson,185,1622505600000,4852,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Fodboldbane,186,1622505600000,4848,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Ulla_Østergaard,187,1622505600000,4846,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Ståle_Solbakken,188,1622505600000,4832,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Mojito,189,1622505600000,4830,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
Eurovision_Song_Contest_2021,190,1622505600000,4825,2021-06-01T00:00:00.000Z,2021-06-01T00:00:00.000Z,2021-07-01T00:00:00.000Z
